Variable1,Variable2,Correlation,SD,CI_Lower,CI_Upper,HDI_Lower,HDI_Upper,Prob_Positive,Prob_Negative
Depression,Anxiety,0.7420580003095432,0.01616631662261436,0.7104526015814286,0.7722328360822781,0.7108242672159385,0.7723559251538735,1.0,0.0
Depression,Stress,0.8218122973822259,0.012227916161870248,0.7967089808274656,0.8441841628483722,0.7972819411804825,0.8445844360731253,1.0,0.0
Depression,Shame,0.025967752693848312,0.03326141528692843,-0.039450683403752414,0.0909943177202543,-0.039839787150588474,0.0906266273551008,0.7805,0.2195
Depression,Guilt,0.21603719239809124,0.03081592199930913,0.15436385947482525,0.2755580288399063,0.1569126566417123,0.2773106310979527,1.0,0.0
Depression,SelfCompassion,0.6576975754987954,0.02086471720143654,0.6139827456653508,0.6964187573240053,0.6153864704057334,0.6971452919198463,1.0,0.0
Depression,SocialMediaAddiction,0.3830075247125434,0.028742519752266882,0.32530609524383286,0.4375035721625651,0.3281934308383502,0.4391281627150761,1.0,0.0
Depression,FamilySupport,-0.35431188827411597,0.028015555845376117,-0.4069295439867687,-0.2969972472081075,-0.40801484863656023,-0.29881676293061094,0.0,1.0
Depression,FriendSupport,-0.22121303901406203,0.033148619955085334,-0.2869506725854674,-0.15633049392187556,-0.2865207173166351,-0.15602473233695055,0.0,1.0
Depression,CyberVictimization,0.2684873012843881,0.029755567084249278,0.20863956053861876,0.3254876235063778,0.21173292624158313,0.3273382514993773,1.0,0.0
Anxiety,Stress,0.7878308794873257,0.012485331241483396,0.7624059824986871,0.8118399389188357,0.761552986417402,0.8107143206808232,1.0,0.0
Anxiety,Shame,0.013666858098927656,0.034851348001752144,-0.05370208519087718,0.0822282417983597,-0.05369552270043571,0.08223902816735831,0.6455,0.3545
Anxiety,Guilt,0.17184491106493616,0.03283543887982941,0.10601452084463686,0.2338572103407407,0.10502469889918632,0.2320126549116847,1.0,0.0
Anxiety,SelfCompassion,0.6460075495816109,0.020377679680456322,0.6046098894434425,0.6842043847127612,0.6078714027873616,0.6866581322133773,1.0,0.0
Anxiety,SocialMediaAddiction,0.3564441248772773,0.029269601646567032,0.29723958235362746,0.41259291773182005,0.30106752619808275,0.4163120368100697,1.0,0.0
Anxiety,FamilySupport,-0.24443637252071812,0.02966106820348682,-0.3001652339673488,-0.1853758485942537,-0.30219361412171986,-0.1877328324497559,0.0,1.0
Anxiety,FriendSupport,-0.19294788447248595,0.03213672102294145,-0.2559389765443506,-0.13005123780847402,-0.25679006243542074,-0.13169230183091712,0.0,1.0
Anxiety,CyberVictimization,0.3162773658850394,0.031553274632354925,0.2548409738905497,0.3771177842673082,0.2546746602734948,0.3767654806284592,1.0,0.0
Stress,Shame,0.03333420937933783,0.03328395985620581,-0.03099171484993205,0.09754364908796233,-0.03181121457715698,0.09686092730632294,0.83325,0.16675
Stress,Guilt,0.19570474333297216,0.03148981733911948,0.13394584433912332,0.2568838512483147,0.13722959628505882,0.259520407147878,1.0,0.0
Stress,SelfCompassion,0.6773707307088118,0.01987278260355611,0.6369890779551375,0.7134643095374872,0.6367825908674092,0.7132191448413818,1.0,0.0
Stress,SocialMediaAddiction,0.38080238009743805,0.028884041289446955,0.3227378751956825,0.4359651110399097,0.3256510570468161,0.43812117914690607,1.0,0.0
Stress,FamilySupport,-0.26198522460121904,0.030094204401283457,-0.3182701692123028,-0.20357638807925457,-0.319902527569067,-0.20575824665097261,0.0,1.0
Stress,FriendSupport,-0.19755808264225172,0.03333409715317778,-0.26246659062323013,-0.13100824718145956,-0.25975569813759164,-0.12933202903270977,0.0,1.0
Stress,CyberVictimization,0.2607032545742488,0.029223218318588876,0.20410639629517724,0.3160683228064985,0.20583100591310824,0.31747317251491225,1.0,0.0
Shame,Guilt,0.5303090118589541,0.027998543432700956,0.4751481771068429,0.5840406185586579,0.47509738965525405,0.5840378744035033,1.0,0.0
Shame,SelfCompassion,0.035801583828308614,0.03154890455371981,-0.028185052262767903,0.09777029348971965,-0.02305652603596432,0.10207927425921416,0.872,0.128
Shame,SocialMediaAddiction,0.10546654768469449,0.03274753050830535,0.041291832345321494,0.17116934936672587,0.03940427184937653,0.16900915894111454,0.999,0.001
Shame,FamilySupport,0.0930349414964431,0.03580081401670332,0.02366611005073634,0.16416674776745155,0.0204855261554447,0.1603647075111897,0.99625,0.00375
Shame,FriendSupport,0.1529353384198858,0.03650587017230138,0.0816556527964593,0.2240699809104902,0.08440615975244255,0.2260564484540637,1.0,0.0
Shame,CyberVictimization,-0.07122759974063836,0.0369034788366834,-0.14271189393915132,0.002809415606328233,-0.1442047666428565,0.0005656370605653723,0.02825,0.97175
Guilt,SelfCompassion,0.21737529407583459,0.030934179653827918,0.1584302637964091,0.27857376580453935,0.15978161498007368,0.27968487043192136,1.0,0.0
Guilt,SocialMediaAddiction,0.2072787174205595,0.030737046480262934,0.14643111814636714,0.26656991569160854,0.14939785109628748,0.26846439567015007,1.0,0.0
Guilt,FamilySupport,-0.009295846162841969,0.03420667127962418,-0.07456244500610014,0.05692561244424895,-0.0741810148176344,0.05698356339914309,0.39125,0.60875
Guilt,FriendSupport,0.0021745755142851338,0.035531491484917924,-0.06595388714418217,0.07229753008641962,-0.06612777837594833,0.07197283407745787,0.53125,0.46875
Guilt,CyberVictimization,0.027592626591597353,0.03303994211273822,-0.04059889792486393,0.091639073613381,-0.04293249110283818,0.08878091940759035,0.80975,0.19025
SelfCompassion,SocialMediaAddiction,0.41226894219016846,0.028091051807340096,0.35597805968779983,0.4653892007569076,0.35839773345436654,0.46685489860808765,1.0,0.0
SelfCompassion,FamilySupport,-0.25316396529503704,0.030806111588253183,-0.31224746500318085,-0.19194413076477487,-0.3122653490998727,-0.19194610861539144,0.0,1.0
SelfCompassion,FriendSupport,-0.13787246105250747,0.03203468502270175,-0.19999896794271477,-0.07427082765346497,-0.1985330036649495,-0.07336969493032759,0.00025,0.99975
SelfCompassion,CyberVictimization,0.24843700365497487,0.02896025619625775,0.19144348753408788,0.3053071070967842,0.19070474140738347,0.3045605192613148,1.0,0.0
SocialMediaAddiction,FamilySupport,-0.15922860592454044,0.031036225002333145,-0.22014627124500047,-0.09718892132598485,-0.2175517600443056,-0.0954554856072888,0.0,1.0
SocialMediaAddiction,FriendSupport,-0.07145781003295522,0.03156803443018816,-0.13321615064758444,-0.00853383583067002,-0.13093292469601098,-0.0067746292413480135,0.013,0.987
SocialMediaAddiction,CyberVictimization,0.19585534759098497,0.025522231760993906,0.14554107969002275,0.24593238888963448,0.1425952158825356,0.2427513077402181,1.0,0.0
FamilySupport,FriendSupport,0.4735397068207017,0.029097375737990566,0.4153216920722922,0.5274612042872909,0.4177861885693431,0.5296280265340947,1.0,0.0
FamilySupport,CyberVictimization,-0.1750441212841201,0.028510595953199932,-0.23235557989699182,-0.12095027674794327,-0.23072511389382705,-0.11946954322021706,0.0,1.0
FriendSupport,CyberVictimization,-0.07357482665507639,0.02836016379568059,-0.1300120051982027,-0.019723310743745292,-0.12750808002430805,-0.017335525502901405,0.0035,0.9965
