,Depression,Anxiety,Stress,Shame,Guilt,SelfCompassion,SocialMediaAddiction,FamilySupport,FriendSupport,CyberVictimization,SocialMediaTime,Age
Depression,1.0,0.7431162346250837,0.8224563757146066,0.022041609604529864,0.21423214708982394,0.658526740015911,0.3833873710658665,-0.35627509489804754,-0.22305782387505343,0.2670037382068111,0.26116989480266184,-0.19685100624791657
Anxiety,0.7431162346250837,1.0,0.7868961912770244,0.005705347894778895,0.1665772430898969,0.6455504550152873,0.35709313847029933,-0.24595247269045614,-0.1937276623183532,0.3189806845885656,0.21792509098096488,-0.24052294513726247
Stress,0.8224563757146066,0.7868961912770244,1.0,0.027422815036711356,0.19281357259026127,0.6770476718508027,0.38172471436272554,-0.2638575263711542,-0.2004586502610122,0.26252828425961017,0.19550806296199721,-0.17708461453979685
Shame,0.022041609604529864,0.005705347894778895,0.027422815036711356,1.0,0.5246878085359473,0.02594685903434848,0.10458188964218874,0.09310804224961294,0.1536835780793448,-0.0706009697789577,0.03743505712298115,0.06531987833798457
Guilt,0.21423214708982394,0.1665772430898969,0.19281357259026127,0.5246878085359473,1.0,0.2105444370195646,0.2057212896538036,-0.007253650374869811,0.005495076205827555,0.03041074138654593,0.08044854800056694,-0.02211870582371883
SelfCompassion,0.658526740015911,0.6455504550152873,0.6770476718508027,0.02594685903434848,0.2105444370195646,1.0,0.41477382157625936,-0.25738836341013455,-0.1400098859017018,0.24993535679092044,0.23228330948275014,-0.2742419953777593
SocialMediaAddiction,0.3833873710658665,0.35709313847029933,0.38172471436272554,0.10458188964218874,0.2057212896538036,0.41477382157625936,1.0,-0.16066582860496562,-0.07632838269166937,0.19511313967644867,0.5052719157433392,-0.24216468042138342
FamilySupport,-0.35627509489804754,-0.24595247269045614,-0.2638575263711542,0.09310804224961294,-0.007253650374869811,-0.25738836341013455,-0.16066582860496562,1.0,0.46694416923193854,-0.17718280977776002,-0.09333608961353042,0.07547921510299717
FriendSupport,-0.22305782387505343,-0.1937276623183532,-0.2004586502610122,0.1536835780793448,0.005495076205827555,-0.1400098859017018,-0.07632838269166937,0.46694416923193854,1.0,-0.07667718819936997,0.04184494692080315,0.010106670442321204
CyberVictimization,0.2670037382068111,0.3189806845885656,0.26252828425961017,-0.0706009697789577,0.03041074138654593,0.24993535679092044,0.19511313967644867,-0.17718280977776002,-0.07667718819936997,1.0,0.1630272866292854,-0.2009659167106734
SocialMediaTime,0.26116989480266184,0.21792509098096488,0.19550806296199721,0.03743505712298115,0.08044854800056694,0.23228330948275014,0.5052719157433392,-0.09333608961353042,0.04184494692080315,0.1630272866292854,1.0,-0.3799541046974711
Age,-0.19685100624791657,-0.24052294513726247,-0.17708461453979685,0.06531987833798457,-0.02211870582371883,-0.2742419953777593,-0.24216468042138342,0.07547921510299717,0.010106670442321204,-0.2009659167106734,-0.3799541046974711,1.0
