ID;gender;age;TİMESOCİAL;"Pasif Kullanım

";"Aktif Paylaşım

";"İçerik Oluşturma

";"İçerik Tüketimi

";SC1;SC2;SC3;SC4;SC5;SC6;SC7;SC8;SC9;SC10;SC11;BERGEN1;BERGEN2;BERGEN3;BERGEN4;BERGEN5;BERGEN6;GS1;GS2;GS3;GS4;GS5;GS6;GS7;GS8;GS9;GS10;DAS1;DAS2;DAS3;DAS4;DAS5;DAS6;DAS7;DAS8;DAS9;DAS10;DAS11;DAS12;DAS13;DAS14;DAS15;DAS16;DAS17;DAS18;DAS19;DAS20;DAS21;SOS1;SOS2;SOS3;SOS4;SOS5;SOS6;SOS7;SOS8;CW1;CW2;CW3;CW4;CW5;CW6;CW7;CW8;CW9;CW10
1;Erkek;24;3;3;2;2;4;2;5;5;1;4;4;4;4;3;3;1;3;2;2;2;3;2;1;1;1;1;1;1;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;6;7;6;6;6;6;1;1;1;1;1;1;1;1;1;1
2;Erkek;22;2;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;4;4;4;5;3;5;4;4;3;3;2;3;2;3;;3;3;3
3;Erkek;22;4;3;3;3;3;3;2;5;5;4;3;3;3;3;3;3;3;3;3;4;3;3;3;5;3;3;3;3;3;4;3;3;2;2;2;2;1;3;3;3;3;3;3;3;2;2;2;2;2;2;0;3;3;3;3;3;3;3;3;3;5;3;3;3;3;1;1;1;1;1;2
4;Kadın;22;2;2;2;3;2;2;3;3;3;4;3;3;3;2;3;5;2;1;2;3;3;3;2;3;2;2;3;3;3;3;3;1;3;2;2;3;1;1;2;2;1;1;2;1;2;1;1;1;0;2;3;0;2;4;4;3;4;4;5;5;5;3;2;1;1;2;3;4;4;1;2
5;Kadın;21;2;3;3;2;1;3;4;2;2;3;3;3;3;3;3;3;4;4;4;4;4;4;4;;4;4;4;;3;3;4;5;3;0;1;0;0;0;2;0;1;3;0;1;0;1;1;0;2;1;1;1;1;7;7;5;5;5;5;6;5;3;2;1;4;2;3;2;2;1;2
6;Kadın;20;2;3;3;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;4;4;3;4;3;4;1;1;1;1;1;1;1;3;1;1
7;Erkek;21;4;5;3;3;5;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;2;1;1;3;2;1;3;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;7;7;7;7;7;7;7;1;1;1;1;1;1;1;1;1;1
8;Kadın;22;4;4;3;2;3;3;3;2;4;3;3;2;4;5;3;3;5;5;2;4;4;5;2;3;3;3;5;3;3;4;2;1;0;2;2;0;3;1;1;2;2;2;2;1;1;1;1;2;3;1;1;2;0;7;6;7;7;7;5;7;5;2;1;1;1;1;1;1;3;1;1
9;Kadın;21;3;5;2;3;3;3;5;5;1;5;5;3;1;2;2;2;1;3;4;1;5;1;3;3;1;3;5;4;5;5;5;5;1;1;0;1;1;2;1;2;2;2;2;1;2;2;2;1;1;2;3;2;1;4;1;1;1;7;7;7;7;1;1;1;1;1;1;1;1;1;1
10;Kadın;22;3;3;;3;3;1;4;4;1;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1
11;Kadın;21;1;3;3;2;1;2;1;3;3;3;2;2;2;2;1;1;1;2;4;3;3;3;2;3;3;2;2;3;2;1;1;3;1;1;0;0;1;2;;1;1;1;2;1;0;1;1;0;1;0;0;0;0;3;1;2;1;1;3;2;1;2;3;2;2;1;2;2;2;2;1
